label,data,lowercase,mapping_dict,remove_non_alphabet,no_whitespace,no_punctuation,standardized_word,stopwords,tokenized
anger,"sok geura leungit atuh sia teh corona, matak gelo yeuh aing unggal poe gogoleran","sok geura leungit atuh sia teh corona, matak gelo yeuh aing unggal poe gogoleran","sok geura leungit atuh sia teh corona, matak gelo yeuh aing uhenteul poe gogoleran",sok geura leungit atuh sia teh corona  matak gelo yeuh aing uhenteul poe gogoleran,sok geura leungit atuh sia teh corona matak gelo yeuh aing uhenteul poe gogoleran,sok geura leungit atuh sia teh corona matak gelo yeuh aing uhenteul poe gogoleran,sok geura-giru leungit atuh sia teh corona matak gelo yeuh aing uhenteul poe gogoleran,geura-giru leungit corona gelo yeuh uhenteul poe gogoleran,"['geura-giru', 'leungit', 'corona', 'gelo', 'yeuh', 'uhenteul', 'poe', 'gogoleran']"
anger,"Nu katoel katuhu nu nyerina kenca, goblog wasitna","nu katoel katuhu nu nyerina kenca, goblog wasitna","nu katoel katuhu nu nyerina kenca, goblog wasitna",nu katoel katuhu nu nyerina kenca  goblog wasitna,nu katoel katuhu nu nyerina kenca goblog wasitna,nu katoel katuhu nu nyerina kenca goblog wasitna,nu boga katoel katuhu nu boga nyerina kenca goblog wasitna,boga katoel katuhu boga nyerina kenca wasitna,"['boga', 'katoel', 'katuhu', 'boga', 'nyerina', 'kenca', 'wasitna']"
joy,Bingah pisan patepang sareng pangerasa. Sing katampi kalayan pinuh midulur...,bingah pisan patepang sareng pangerasa. sing katampi kalayan pinuh midulur...,bingah pisan patepang sareng pangerasa. sing katampi kalayan pinuh midulur...,bingah pisan patepang sareng pangerasa  sing katampi kalayan pinuh midulur   ,bingah pisan patepang sareng pangerasa sing katampi kalayan pinuh midulur ,bingah pisan patepang sareng pangerasa sing katampi kalayan pinuh midulur ,bingah pisan patepang sareng pangerasa sing saha katampi kalayan pinuh midulur,bingah patepang pangerasa sing katampi kalayan pinuh midulur,"['bingah', 'patepang', 'pangerasa', 'sing', 'katampi', 'kalayan', 'pinuh', 'midulur']"
fear,asa hariwang kieu.. lalakon hirup teh asa nyorangan.. asa ieu mah..,asa hariwang kieu.. lalakon hirup teh asa nyorangan.. asa ieu mah..,asa hariwang kieu.. lalakon hirup teh asa nyorangan.. asa ieu mah..,asa hariwang kieu   lalakon hirup teh asa nyorangan   asa ieu mah  ,asa hariwang kieu lalakon hirup teh asa nyorangan asa ieu mah ,asa hariwang kieu lalakon hirup teh asa nyorangan asa ieu mah ,asa hariwang kieu lalakon hirup teh asa nyorangan asa ieu mah,hariwang lalakon hirup nyorangan,"['hariwang', 'lalakon', 'hirup', 'nyorangan']"
anger,"Orang mana sih anying, sampis pisan. Bunuh ae lah bunuh","orang mana sih anying, sampis pisan. bunuh ae lah bunuh","orang mana sih anjing, sampis pisan. bunuh ae lah bunuh",orang mana sih anjing  sampis pisan  bunuh ae lah bunuh,orang mana sih anjing sampis pisan bunuh ae lah bunuh,orang mana sih anjing sampis pisan bunuh ae lah bunuh,orang mana sih anjing sampis pisan bunuh ae lah bunuh,sampis bunuh ae bunuh,"['sampis', 'bunuh', 'ae', 'bunuh']"
sadness,nya prihatin siih tp kedah kitu at pak Bozz hapuntn abi tos kmh wntu,nya prihatin siih tp kedah kitu at pak bozz hapuntn abi tos kmh wntu,nya prihatin sih tp kedah kitu at pak boz hapuntn abi tos kmh wntu,nya prihatin sih tp kedah kitu at pak boz hapuntn abi tos kmh wntu,nya prihatin sih tp kedah kitu at pak boz hapuntn abi tos kmh wntu,nya prihatin sih tp kedah kitu at pak boz hapuntn abi tos kmh wntu,nya prihatin sih tp kedah kitu at pak boz hapuntn abi tos kmh wntu,prihatin tp kedah at pak hapuntn tos kmh wntu,"['prihatin', 'tp', 'kedah', 'at', 'pak', 'hapuntn', 'tos', 'kmh', 'wntu']"
joy,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage..:-D sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage..:-d sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage..:-d sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage    d sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage d sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage d sok janten kangen ai emut bndung teh,sae nya kang ai tos ningal kompak kitu teh bingah ningal nage d sok janten kangen ai emut bndung teh,sae ai tos ningal kompak bingah ningal nage d janten kangen ai emut bndung,"['sae', 'ai', 'tos', 'ningal', 'kompak', 'bingah', 'ningal', 'nage', 'd', 'janten', 'kangen', 'ai', 'emut', 'bndung']"
sadness,"Cai soca ngeclak mun emut kana dosa, rumasa raga lamokot dosa, ngungudag dunya taya reureuhna, teu kabayang kumaha engke di alam baka","cai soca ngeclak mun emut kana dosa, rumasa raga lamokot dosa, ngungudag dunya taya reureuhna, teu kabayang kumaha engke di alam baka","cai soca ngeclak mun emut kana dosa, rumasa raga lamokot dosa, ngungudag dunya taya reureuhna, teu kabayang kumaha engke di alam baka",cai soca ngeclak mun emut kana dosa  rumasa raga lamokot dosa  ngungudag dunya taya reureuhna  teu kabayang kumaha engke di alam baka,cai soca ngeclak mun emut kana dosa rumasa raga lamokot dosa ngungudag dunya taya reureuhna teu kabayang kumaha engke di alam baka,cai soca ngeclak mun emut kana dosa rumasa raga lamokot dosa ngungudag dunya taya reureuhna teu kabayang kumaha engke di alam baka,cai soca ngeclak mun emut kana dosa rumasa ngolah raga lamokot dosa ngungudag dunya taya reureuhna teu kabayang kumaha engke di alam baka,cai soca ngeclak emut kana dosa rumasa ngolah raga lamokot dosa ngungudag dunya taya reureuhna teu kabayang engke alam baka,"['cai', 'soca', 'ngeclak', 'emut', 'kana', 'dosa', 'rumasa', 'ngolah', 'raga', 'lamokot', 'dosa', 'ngungudag', 'dunya', 'taya', 'reureuhna', 'teu', 'kabayang', 'engke', 'alam', 'baka']"
anger,"Gokar! Punteun, buat yg masih pd nongkrong yg masih jalan2 gajelas, punteun ieu mah, ari sia goblog2 teuing sih:(( Sia terpapar korona di luar nu di imah ge beunang! Cik karunya ka diri sorangan teh gobloggg Cicing heula saminggu mah dripda cicing di r.isolasi teu kaluar2 sateh.","gokar! punteun, buat yg masih pd nongkrong yg masih jalan2 gajelas, punteun ieu mah, ari sia goblog2 teuing sih:(( sia terpapar korona di luar nu di imah ge beunang! cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r.isolasi teu kaluar2 sateh.","gokar! punteun, buat yg masih pd nongkrong yg masih jalan2 gajelas, punteun ieu mah, ari sia goblog2 teuing sih:(( sia terpapar korona di luar nu di imah ge beunang! cik karunya ka diri sorangan teh goblog cicing heula saminggu mah dripda cicing di r.isolasi teu kaluar2 sateh.",gokar  punteun  buat yg masih pd nongkrong yg masih jalan  gajelas  punteun ieu mah  ari sia goblog  teuing sih    sia terpapar korona di luar nu di imah ge beunang  cik karunya ka diri sorangan teh goblog cicing heula saminggu mah dripda cicing di r isolasi teu kaluar  sateh ,gokar punteun buat yg masih pd nongkrong yg masih jalan gajelas punteun ieu mah ari sia goblog teuing sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh goblog cicing heula saminggu mah dripda cicing di r isolasi teu kaluar sateh ,gokar punteun buat yg masih pd nongkrong yg masih jalan gajelas punteun ieu mah ari sia goblog teuing sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh goblog cicing heula saminggu mah dripda cicing di r isolasi teu kaluar sateh ,gokar punteun buat yg masih pd nongkrong yg masih jalan gajelas punteun ieu mah ari sia goblog teuing sih sia terpapar korona di luar nu boga di imah ge beunang cik karunya ka ka diri sorangan teh goblog cicing paheula-heula saminggu mah dripda cicing di r isolasi teu kaluar sateh,gokar punteun yg pd nongkrong yg jalan gajelas punteun terpapar korona luar boga imah beunang cik karunya sorangan cicing paheula-heula saminggu dripda cicing r isolasi teu kaluar sateh,"['gokar', 'punteun', 'yg', 'pd', 'nongkrong', 'yg', 'jalan', 'gajelas', 'punteun', 'terpapar', 'korona', 'luar', 'boga', 'imah', 'beunang', 'cik', 'karunya', 'sorangan', 'cicing', 'paheula-heula', 'saminggu', 'dripda', 'cicing', 'r', 'isolasi', 'teu', 'kaluar', 'sateh']"
anger,"kumah pernahnya naik angkot dari Cihampelas trs turun di baso bujangan, kan 2rb Aja ya, manalagi aku pake seragam mah osok murah.. tpi akuteh ngasih 5rb da lagi bageur.. Eh si mamang na kalah ngomong ""belegug budak teh, kalah mere loba."" aNJING PISAN EUY GEUS DIBERE TEH","kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan, kan 2rb aja ya, manalagi aku pake seragam mah osok murah.. tpi akuteh ngasih 5rb da lagi bageur.. eh si mamang na kalah ngomong ""belegug budak teh, kalah mere loba."" anjing pisan euy geus dibere teh","kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan, kan 2rb aja ya, manalagi aku pake seragam mah osok murah.. tpi akuteh ngasih 5rb da lagi bageur.. eh si mamang na kalah ngomong ""belegug budak teh, kalah mere loba."" anjing pisan euy geus dibere teh",kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan  kan  rb aja ya  manalagi aku pake seragam mah osok murah   tpi akuteh ngasih  rb da lagi bageur   eh si mamang na kalah ngomong  belegug budak teh  kalah mere loba   anjing pisan euy geus dibere teh,kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan kan rb aja ya manalagi aku pake seragam mah osok murah tpi akuteh ngasih rb da lagi bageur eh si mamang na kalah ngomong belegug budak teh kalah mere loba anjing pisan euy geus dibere teh,kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan kan rb aja ya manalagi aku pake seragam mah osok murah tpi akuteh ngasih rb da lagi bageur eh si mamang na kalah ngomong belegug budak teh kalah mere loba anjing pisan euy geus dibere teh,kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan kan rb aja ya manalagi aku pake seragam mah osok murah tpi akuteh ngasih rb da lagi bageur eh si mamang na kalah ngomong belegug budak teh kalah mere loba anjing pisan euy geus dibere teh,kumah pernahnya naik angkot cihampelas trs turun baso bujangan rb pake seragam osok murah tpi akuteh ngasih rb bageur eh mamang kalah ngomong belegug budak kalah mere loba dibere,"['kumah', 'pernahnya', 'naik', 'angkot', 'cihampelas', 'trs', 'turun', 'baso', 'bujangan', 'rb', 'pake', 'seragam', 'osok', 'murah', 'tpi', 'akuteh', 'ngasih', 'rb', 'bageur', 'eh', 'mamang', 'kalah', 'ngomong', 'belegug', 'budak', 'kalah', 'mere', 'loba', 'dibere']"
