repeated_char;kata_dasar
siih;sih
gobloggg;goblog
sorry;hampura
ninggal;ninggalkeun
aniing;aning
baang;bang
allahh;allah
allah;
anjiiiir;anjir
meunggeus;
alhamdulillah;
hareeng;hareng
alloh;allah
plokk;plok
sanggem;sanggem
waas;was
ayaan;ayan
gustii;gusti
essien;essien
allhamdulillah;alhamdulilah
aminnnnn;amin
keadaan;kaayaan
njirr;njir
antepp;ngantep
subhanalloh;subhanallah
liburannya;
bebelaan;
sllu;sok
haduhh;kaduhung
saacan;sacan
ee;
nyeriiiii;nyeri
aamiin;amin
teunggeul;teunggeulan
aaaah;ah
liverpool;
syukuranna;syukur
mm;
wee;
beuuuhhh;beuh
alhamdulilla;alhamdulilah
nggeus;sanggeus
ngajenggut;
niis;
meninggal;ajal
pengangguran;nganggur
duuuuh;duh
menciummu;nyium
sparrow;
heeee;
pisannnnnn;pisan
macaan;macan
follow;miluan
tinggalieun;tinggaleun
seeur;seur
yawlaa;ya allah
tinggi;luhur
iih;ih
hujannya;hujan
dimandiin;mandi
ninggali;ninggalkeun
jiaaah;jiah
anyinggggg;anjing
reii;rei
nyaa;nya
neunggar;neunggeul
yeeeh;yeh
ammarwatasuta;amarwarsuta
seep;
yaa;
bebentukanna;bentukna
yuuh;
hampuraaa;hampura
allohu;allah
mmwa;
inggris;
hatee;hate
nenggeulan;neunggeulan
sokkk;sok
nonggeng;
aambekan;ambekan
ahhhhhh;
duhh;
tutunggulan;
keeng;
boss;
manfaat;mangpaat
moodbuster;
lailahailallah;allah
seer;
ueeeekkkkkk;
gustiii;allah
jijiiii;
guus;
difikirinnya;pikiranana
keeung;
billy;
ninggalna;ninggalkeun
pikiranna;pikiranana
aduhhhhh;kaduhung
dinner;balakecrakan
followers;nuturkeun
ditinggal;ditinggalkeun
pamimpinna;pamingpin
goodjob;
ehh;
twitter;
cinggir;
bisaan;bisa
hujann;hujan
kahaareupna;kahareupnakeun
ppna;
naaa;
tahhhhh;
waduuuuuhh;kaduhung
pesanna;talatah
lurrr;
heeh;
mamaaaaaaaahhhh;mamah
bangga;indung
anjiggggggg;anjing
bbtran;
sambeeel;sambel
heppybesdey;
diimah;
dibenakku;akal
mialloh;
subhanallah;
iin;
pangarumasaan;pangrumasan
astagfirullah;
euyyy;
ttp;tetep
disaat;waktuna
pangmbaraan;
gaysss;
barokallah;
manggih;manggihan
aussie;
panggih;papanggih
twinsss;
dibejaan;dibejakeun
aduuh;
allahuakbar;
kummaha;kumaha
biayaan;biayana
nanggapi;nanggepan
naoon;naon
aduuuh;kaduhung
anjiiiiing;anjing
dibbm;
allahu;
official;resmi
nggeusan;
emaaaaaaa;sanggeus
maanneh;maneh
hello;
siaaaaa;sia
duuh;kaduhung
tehh;teteh
aliraan;
eeuh;euh
yaallah;allah
pool;
eyy;
alhamdullilah;
haduhhh;kaduhung
meninggalkan;ninggalkeun
ardilla;
tungguan;tunggu
aallah;allah
ninggang;
ihhh;
yaaa;
tahh;
ngetweet;
siawwteh;
tetangga;tatangga
dipanggil;digeroan
saranna;bongbolongan
ngalobaan;ngaloban
aww;
barokalloh;
horror;sieun
massal;
walahhhh;kaduhung
keaadan;kaayaan
pemerkosaan;pemerkosa
nyiiir;
kaabusan;
asaan;
nunggu;nungguan
skill;
ahaaaay;
ngangge;nganggepan
dkk;
mninggal;ajal
njirrr;anjing
alhmdllah;alhamdulilah
bozz;boz
ngga;henteu
sobb;sob
kawaasan;kawasan
kecelakaan;kecelakan
carrier;carrier
menggapai;menggapai
asaa;asa
depanna;depana
adeuuhh;adeuh
rabb;rabb
deuui;deui
bubaaaar;bubar
hayoo;hayo
pisannn;pisan
yaallohh;yaallah
ajiggg;ajig
muluu;mulu
hhhaaaaa;ha
kaanjeun;kanjeun
nyingkahannana;nyingkahanana
hahhaaa;haha
setann;setan
perasaan;perasan
tatangkalaan;tatangkalan
bangsudd;bangsud
seafood;seafood
yess;yes
amiin;amiin
yaalloh;yaalloh
yaalah;yaallah
hahaahah;hahahah
riaa;ria
happy;happy
supporter;supporter
iyeuu;iyeu
kebahagiaan;kabagjaan
andelanna;andelana
gaboong;gabong
aduhhh;aduh
collab;colab
ninggangna;ningangna
pisaaan;pisan
ganggu;ganggu
gofood;gofood
nylahkeunna;nylahkeuna
hieee;hie
uus;us
jalanna;jalana
hiiii;hi
tatanggi;tatangi
penanggulangan;penangulangan
hahahha;hahaha
hororr;jurig
almdllah;alhamdulilah
buut;but
waeee;wae
wainna;waina
nyii;nyi
yaah;yah
aminn;amin
iiihhhh;ih
recommended;recommended
nungguin;nungguin
keheeed;kehed
melly;mely
mengguyur;menguyur
manii;mani
twitt;twit
ngangg;ngang
rampees;rampes
kieuu;kieu
berjamaah;berjamaah
hoboog;hobog
sepii;sepi
ngahujjah;ngahujah
iiih;ih
melakukannyah;ngalakonan
dugaan;upatemon
ditungguan;kautunggukan
dajjal;dajjal
reseeep;resep
mood;mood
weee;we
panggil;panggil
keseel;kaduhung
keesel;kaduhung
gokill;gokil
nyakk;nyak
derrys;derrys
whatsapp;whatsapp
siaaa;sia
maenna;maenna
nuhuuunn;nuhun
ngegasss;rungsing
wilujenggggggg;wilujeng
kesetiaan;kesetian 
tt;tt
dellll;del
bayavvak;bayawak
huuu;hu
menggemaskan;menggemaskan
euyy;euy
aamiiin;amin
yeahh;yeah
kkbutan;kebutan
edannnn;edan
duhhh;duh
cheese;cheese
nganggo;nganggo
bangsaaaaaaaat;bangsat
jadahhh;jadah
irabbikuma;irabikuma
jawabannya;jawabannya
pertanyaan;pertanyaan
inggis;ingis
roggomah;ronggomah 
baarengi;barengi
hiii;hi
sundaan;sundaan
ajigggg;ajig
astagpirullohala;astagfirullah
xxi;xixi
periiih;perih
ceritannya;ceritana
tth;teteh
kkn;kakang
enaaaaak;enak
aingggggg;aing
pee;pe
ngeshootnya;ngeshotna
hadeuuuh;hadeuh
aamin;amin
enyaa;ngeunah
jangarrr;jangar
mantennya;mantena
gaiss;gais
heuu;heu
tinggali;tinggalna
ngabayangkeunna;ngabayangkeuna
klluar;keluar
aminnnn;amin
uiiiiing;uing
mashaa;mashaallah
hobby;hobby
rabbal;rabbak
moon;mon
uulinan;ulinan
iihh;ih
siaa;sia
bubaaaaar;bubar
godinnya;godinnya
bermanfaat;maslahat
dasaar;dasar
kaanjeuna;kanjeuna
berturutturut;noron
kesenggol;kesenggol
caffe;cafe
jelemaa;jelema
lelenggutan;lelenggutan
alhamdulillahnya;alhamdulilah
oooh;oh
grabfood;grabfood
ditenggeulan;diteggeulan
aslilahh;asli
saatos;saatos
roojiuun;rojiun
babarayaan;babarayan
saalam;salam
teeh;the
sengklekkk;sengklek
mariilih;marilih
kangge;kangge
percintaan;perrcintaan
pemeriksaan;permeriksaan 
jeuung;jeung
atuhlahhhh;atuhlah
kebersamaan;kebersamaa
agull;agul
sokk;sok
lucuhhh;mutuh
kkbutn;kebutun
sukakkkk;resep
rooji;rooji
jangarr;jangar
tanggerang;tangerang
ewwuh;ewuh
ngaanggapna;nganggapna
bapaaaak;bapak
saruaa;sarua
kissing;engo
ripuuh;ripuh
eeongan;eongan
kapayunna;kapayuna
sarrng;sareng
alamii;alami
nepaan;nepaan
lalakinyaa;lalakina
bananainn;bananain
waee;wae
all;kabeh
genggaman;genggaman
aingggg;aing
ott;kaluar
bullshit;harkos
rudeet;rudet
nnaon;naon
uun;uun
sabaar;sabar
paadu;padu
haduhhhh;haduh
ttep;tetep
slurrrr;slur
bbudakeun;budalkeun
eoohhhhhh;eoh
tunduuh;tunduh
skillan;skilan
walahh;walah
ajgg;ajing
najisinncuih;najis
pencaharianna;pencahariana
masyallah;masha allah
anyeeeng;anjing
seuseurianna;seuseurianna
aslinaa;aslina
dooh;duh
anjirrrrr;anjing
inalillahi;innalillahi
laahhh;lah
bismillah;bismillah
tweet;
innalillahi;
ihh;ih
dosaa;dosa
shopeepaylater;shopee paylater
bbm;bahan bakar minyak
tweetan;tweet
katinggali;
kenyataan;
ppppffffftttt;
ajigg;anjing
aduhh;aduh
ripuhh;ripuh
kaptenna;
betee;bete
meuurrr;meur
dibebelaan;dibebelan
gustiiii;gusti
anjayy;anjing
damaaaaaang;damang
ngajedogggg;ngajedog
engges;
boyy;boy
hanyingg;anjing
nyinggung;
ivaaaa;iva
gttu;gitu
anyeeng;anjing
atuhhhh;atuh
hujanna;
bahahhahahahaha;hahaha
taii;tai
aang;
assalamuallaikum;
astaghfirullah;
alhmdulillah;alhamdulillah
kaayeuna;
kkumaha;kumaha
balikk;balik
laa;la
wkakakakkakaa;
lennon;lenong
tanggungan;
kuurg;kurug
yaampun;ya ampun
tujuanna;tujuannya
ukk;
bully;perundungan
aingge;
geraa;gera
putt;
tiiseun;iseun
enggalan;
lahhh;lah
seksehh;seksi
ahiig;ahig
sedihhh;sedih
hanna;
alhdllh;alhamdulillah
mantapp;mantap
emmh;
kunaonnya;kunaon
dll;dan lain lain
sugaaan;sugan
kanyaah;kanyah
baluu;balu
hadehhhhh;haduh
panooon;panon
ahh;ah
deek;dek
anggeur;
enyaaa;enya
tross;terus
brooooo;bro
harr;har
nuhuuunnn;nuhun
anjritt;anjing
menggiurkan;giur
ramee;rame
alooooh;halo
enggeus;
fullteam;full team
buzeer;buzzer
ditanggap;tanggap
katinggalna;
beeuuggghhh;beugh
bawaana;
reseeeep;resep
aah;ah
perpisahanna;
bosquuuu;bos ku
pkerjaan;pekerjaan
succes;sukses
rujiiiiiiiiiiiiit;rujit
kayaan;kayan
challenge;tantangan
iiihhh;ih
anjiss;anjing
bobottoh;bobotoh
astagahh;astaga
caangna;
tulisanna;
miin;min
dzannur;
anyinggg;anjing
sbaari;sabar
lawakklubtrans;lawak klub trans
ppriheun;pripun
boo;
pujaan;
cell;
sorr;
hnmm;
seratannana;
tebby;
hiiih;
berduaan;
kendaraan;
eraa;
knyaahna;kanyahna
eyapp;iya
bacottt;bacot
baihakki;baihaqi
haaaa;
maaf;
cobaan;
juaraaaaaaaaaaa;juara
dipikanyaah;pikanyah
boboraah;boborah
sihh;
rangga;
cungurrr;cungur
astagfirulloh;astaghfirullah
yawloooo;ya allah
wkkwkwkw;
too;
inallillahi;innalillahi
ngageunggeuik;geunggeuik
kuotaan;kuota
euung;eung
naa;
sungguh;sungguh
footsaall;futsal
facebook;
ajjg;anjing
sadness;
yaahh;yah
tteh;teteh
allohuakbar;allahuakbar
ddnya;dadanya
kieee;kie
bayaranna;
peurihhh;peurih
ngagofood;nge gofood
hadeuhhh;haduh
eeiiimmm;eim
uuyyy;uy
innaalillaahi;
jenaaatt;jenat
caritaan;
aliasss;alias
waregg;wareg
ahhh;ah
hmmm;
haramm;haram
fabiayyi;
batikeunna;
obaa;oba
insyaalloh;insha allah
passer;
ditunggu;tunggu
nyahoo;nyahu
bangsatttttt;bangsat
menii;meni
koordinasi;
ngagentraan;
google;
melaan;
uusekan;usekan
oorang;orang
pliss;please
cherrybell;cherrybelle
naudzubillah;
hqq;hakiki
rrencangan;rencangan
akkeun;
bapaaak;bapak
attu;atuh
full;
kakkaraen;
buseeeeet;buset
pulaang;pulang
stress;
annoying;
waduhh;waduh
raat;
anggap;
anggang;
anggeus;
waraas;waras
wahh;wah
ajiggggg;anjing
uuh;uh
ajaa;aja
sumpahh;sumpah
pinggiran;
laahh;lah
wkwkkwkwkwwk;
terharuuu;terharu
muhammad;muhammad
mekkah;
psbb;
mikanyaah;mikanyah
bejaan;bejan
spill;
barakallah;barakallh
adminna;
dayyyy;day
reeus;
ninggalan;
kituu;
gaada;gak ada
plisss;please
terharuu;terharu
pp;
okk;ok
shyitt;shit
nuhunn;nuhun
hargaan;harga
jawabannateh;
uhh;
ppu;
narimakeunna;
mmh;mamah
ngajakkan;
pisaannnn;pisan
glenn;
pisannya;pisan
enggal;
eeeuy;euy
bahh;bah
